[T0] --- GAME START: BLUE ---
[T0] Handoff Spot: (2, 2)
[T0] Plating Spot: (2, 2)
[T0] MODE: FLUID (Open Map)
[T1] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T1] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T2] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T2] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T3] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T3] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T4] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T4] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T5] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T5] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T6] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T6] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T7] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T7] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T8] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T8] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T9] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T9] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T10] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T10] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T11] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T11] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T12] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T12] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T13] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T13] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T14] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T14] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T15] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T15] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T16] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T16] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T17] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T17] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T18] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T18] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T19] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T19] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T20] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T20] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T21] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T21] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T22] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T22] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T23] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T23] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T24] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T24] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T25] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T25] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T26] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T26] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T27] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T27] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.SAUCE) P:100]
[T28] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
